what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1476254848423
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476254849120
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1476254850973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476254854926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476254894915
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476254897099
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1476254910596
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1476254910600
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1476254910655
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1476254910715
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1476254910766
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1476254910880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1476254910907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476254933532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476254944523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476254951973
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476254965047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1476254971002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1476254973189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476254990660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476255007020
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1476255008366
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476255014419
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1476255021982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476255031671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476255377088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476255438268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1476255450551
